title,price,property_type,location,publication_date,link,city
5 ha en un ou plusieurs,4500000.0,Autre,Raoued,19/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3058964,Raoued
Très joli open space 250,5500.0,Autre,Jardins de Cart,19/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3105221,Jardins de Cart
Av 2 locaux commerciaux,130000.0,Autre,Hammam Chatt,19/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376397,Hammam Chatt
Appartement s2 meublé à,2200.0,Appartement,Borj El Baccouc,19/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3304210,Borj El Baccouc
Très beau terrain 5946 m,4756800.0,Terrain,Chotrana 2,19/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3330810,Chotrana 2
Av appartement s1,260000.0,Appartement,Cite Plein Air,19/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376396,Cite Plein Air
Bureau hs 760m2 en open,17100.0,Autre,Montplaisir,19/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3204433,Montplaisir
Très joli bureau 144 m2,3500.0,Autre,Berge Du Lac,19/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3172895,Berge Du Lac
Joli bureau h3 au berge,2000.0,Autre,Berge Du Lac,19/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3153757,Berge Du Lac
Immeuble 1720 m2 très ha,40000.0,Autre,Berge Du Lac,19/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3041251,Berge Du Lac
Appartement s2,550.0,Appartement,Borj Louzir,19/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376390,Borj Louzir
Terrain agricole chafai thala,40000.0,Terrain,Chafai,19/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3346849,Chafai
Dar 2 etage indépendant,130000.0,Autre,Cite Essoltani,19/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3369791,Cite Essoltani
Open haut standing 770 m,13475.0,Autre,Cite Jardins,19/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=2985413,Cite Jardins
1 etage villa,1250.0,Villa,El Menzah 6,19/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3346635,El Menzah 6
Très beau terrain 780m2à,858000.0,Terrain,La Soukra,19/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3154721,La Soukra
Beau terrain 268 m2 à bhar la,150000.0,Terrain,Cite Bhar Lazre,19/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3066397,Cite Bhar Lazre
Super immeuble bureautiq,70500.0,Autre,Berge Du Lac,19/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3203263,Berge Du Lac
Megrine saint gobin local com,4500.0,Autre,Saint Gobin,19/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3350047,Saint Gobin
Appartement s1 meublé ce,500.0,Appartement,Sfax,19/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3340015,Sfax
Appartement s3 meublé  c,600.0,Appartement,Sfax,19/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3278947,Sfax
Senia 6 ha 51 ca 2600 ol,480000.0,Autre,El Frada,19/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3372582,El Frada
Villa alain savary 450m,1200000.0,Villa,Cite Jardins,19/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3334469,Cite Jardins
Terrain zone mghira 11000m,5500000.0,Terrain,Zone Industriel,19/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3089209,Zone Industriel
Terrain rades 6500m industrie,6500000.0,Terrain,Rades,19/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3357449,Rades
Apparemment s4  meublé,450000.0,Autre,Cite Ennasr 2,19/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3310698,Cite Ennasr 2
Offre génial,90000.0,Autre,Borj Cedria,19/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376356,Borj Cedria
Riadh andalos villa ht s,820000.0,Villa,Riadh Landlous,19/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3249130,Riadh Landlous
Menzah5 villa sur gd rue,1500000.0,Villa,El Menzah 5,19/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3351730,El Menzah 5
Terrain afh henaya,220000.0,Terrain,Mohamadia,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3374464,Mohamadia
Immeble r plus 3,1100000.0,Autre,Mahdia,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376346,Mahdia
Deux terrains jumelés à,500000.0,Terrain,Cite Touristiqu,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3355370,Cite Touristiqu
Bonne affaire,130000.0,Autre,El Mourouj,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376343,El Mourouj
Bonne occasion,130000.0,Autre,El Mourouj,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3359009,El Mourouj
Appartement,130000.0,Appartement,El Mourouj,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3359012,El Mourouj
1ere étage d une maison à dan,650.0,Maison,Denden,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376337,Denden
Appartement s2 megrine r,830.0,Appartement,Megrine Riadh,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376328,Megrine Riadh
Av des terrains a oued e,67000.0,Terrain,La Mannouba,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376327,La Mannouba
Studio meuble au lac1,850.0,Autre,Berge Du Lac,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376324,Berge Du Lac
Emplacement numéro 1 résident,350000.0,Autre,Bir Ali Ben Khe,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376320,Bir Ali Ben Khe
App meublé kelibia ville,470.0,Autre,Kelibia,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376318,Kelibia
Plateau lumineux au rdc,7300.0,Autre,Montplaisir,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3353582,Montplaisir
Al bureau neuf avec vu d,1150.0,Autre,Ariana,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376306,Ariana
Villa s3  à nouvelle med,1000.0,Appartement,Nouvelle Medina,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376305,Nouvelle Medina
